"Population"	"Treatment"	"Strain"	"Barcode_mean"	"Barcode_N"	"Barcode_High"	"Barcode_Low"	"Growth_Rate"	"High"	"Low"
"53"	"VG"	"Control"	"VG1-2_90"	1.76230224878063	5	1.79622811948644	1.72837637807483	1.533480638	1.599528328	1.467432948
"54"	"VG"	"Control"	"VG1-2_93"	1.46323339959973	2	1.5012767418473	1.42519005735217	1.359448225	1.578955615	1.139940835
"55"	"VG"	"Control"	"VG1-2_94"	1.59099245174711	4	1.60440502318867	1.57757988030555	1.42832058	1.488112357	1.368528803
"56"	"VG"	"Control"	"VG1-2_95"	2.00697995452755	5	2.0212511148152	1.99270879423991	1.416569635	1.502137795	1.331001475
"57"	"VG"	"Control"	"VG1-2_99or65"	1.8305578614988	5	1.85452623151236	1.80658949148524	1.593281588	1.649393218	1.537169958
"58"	"GP"	"Copper"	"GP2-4_26"	0.670925795295719	5	0.724778930043894	0.617072660547544	0.217556988	0.465151921	-0.030037944
"59"	"GP"	"Copper"	"GP2-4_27"	0.637955461178226	5	0.665176441633787	0.610734480722666	0.211437738	0.42317029	-0.000294814
"60"	"GP"	"Copper"	"GP2-4_28"	0.169778625121872	1	NA	NA	0.018789594	0.062701856	-0.025122668
"61"	"GP"	"Copper"	"GP2-4_29"	0.214871168275229	5	0.23627136755327	0.193470968997187	0.021135867	0.555805514	-0.513533781
"62"	"GP"	"Copper"	"GP2-4_31"	0.568826447585147	5	0.607009767566061	0.530643127604234	0.351473648	0.545382743	0.157564553
"63"	"GP"	"Copper"	"GP2-4_32"	0.40681284922176	4	0.446401330553204	0.367224367890316	0.482624534	0.633011456	0.332237611
"64"	"GP"	"Copper"	"GP2-4_39"	0.459583594769044	5	0.471971220979575	0.447195968558512	0.241176789	0.342727929	0.139625649
"65"	"GP"	"Copper"	"GP2-4_40"	0.358287929354776	5	0.416244790465187	0.300331068244365	0	0	0
"66"	"GP"	"Copper"	"GP2-4_42"	0.532589788559438	5	0.55352929880728	0.511650278311597	0.000208093	0.005873773	-0.005457587
"67"	"GP"	"Copper"	"GP2-4_43"	0.316765633969821	5	0.356228514796978	0.277302753142664	0.206122857	0.33681963	0.075426084
"68"	"GP"	"Copper"	"GP2-4_44"	0.163814596070236	4	0.214517997587754	0.113111194552718	0.415173458	0.618961167	0.21138575
"69"	"GP"	"Copper"	"GP2-4_45and46"	0.0514062580164077	3	0.111308216880879	-0.00849570084806357	0.400009373	0.550581892	0.249436853
"70"	"GP"	"Copper"	"GP2-4_47"	0.0103746833465372	2	0.165941438984531	-0.145192072291457	0.30133428	0.429620141	0.173048418
"71"	"GP"	"Copper"	"GP2-4_51"	0.0103159664808154	4	0.0630482309046974	-0.0424162979430666	0.144606905	0.328602959	-0.039389149
"72"	"GP"	"Copper"	"GP2-4_52"	0.602520009569812	5	0.63509438443833	0.569945634701293	0.261247176	0.375496657	0.146997695
"73"	"GP"	"Copper"	"GP2-4_54"	-0.0205087576959332	2	0.032526554717344	-0.0735440701092103	0.48121449	0.668659572	0.293769407
"74"	"GP"	"Copper"	"GP2-4_55"	0.178806073633268	3	0.214338230633572	0.143273916632963	0.239035633	0.346779092	0.131292173
"75"	"GP"	"Copper"	"GP2-4_56"	0.0935615753729944	4	0.148774493614917	0.0383486571310719	0.866196045	3.838472684	-2.106080593
"76"	"GP"	"Copper"	"GP2-4_57"	0.120100422434332	3	0.177858617785616	0.0623422270830475	0.149143187	0.222071961	0.076214413
"77"	"GP"	"Copper"	"GP2-4_61"	0.375830036632491	5	0.420879076510162	0.33078099675482	0.555998526	0.639398624	0.472598428
"78"	"GP"	"Copper"	"GP2-4_63"	0.576598135990028	5	0.600764452931398	0.552431819048657	0.605065429	0.751613687	0.458517171
"79"	"GP"	"Copper"	"GP2-4_67"	0.623590117487539	5	0.649752682907359	0.597427552067719	0.585375499	0.733811384	0.436939615
"80"	"GP"	"Copper"	"GP2-4_68"	NA	0	NA	NA	0.133968223	0.243743814	0.024192632
"81"	"GP"	"Copper"	"GP2-4_69"	0.262086815350365	5	0.303130847855909	0.221042782844821	0.215318991	0.350212705	0.080425277
"82"	"GP"	"Copper"	"GP2-4_70"	0.535042632177028	5	0.573024640944868	0.497060623409188	0.425175051	0.60917911	0.241170992
"83"	"GP"	"Copper"	"GP2-4_71"	0.561663405011092	5	0.605079379637771	0.518247430384413	0.070113404	0.322241105	-0.182014297
"84"	"GP"	"Copper"	"GP2-4_72"	0.707102701132782	5	0.742180140143044	0.672025262122519	0.64012299	0.841261753	0.438984228
"85"	"VG"	"Copper"	"VG1-2_103"	NA	0	NA	NA	0.41404131	0.552440957	0.275641663
"86"	"VG"	"Copper"	"VG1-2_104"	NA	0	NA	NA	0.694537723	0.801168272	0.587907174
"87"	"VG"	"Copper"	"VG1-2_105"	0.51129071527514	5	0.570585790925318	0.451995639624962	1.083280252	1.252933902	0.913626602
"88"	"VG"	"Copper"	"VG1-2_106"	NA	0	NA	NA	0.377275569	0.55233719	0.202213949
"89"	"VG"	"Copper"	"VG1-2_107"	NA	0	NA	NA	0.562280584	0.667188362	0.457372807
"90"	"VG"	"Copper"	"VG1-2_44"	0.098415316387434	2	0.138058303828536	0.0587723289463324	0.17394503	0.276211539	0.071678521
"91"	"VG"	"Copper"	"VG1-2_45"	0.684271114014422	5	0.709927818284376	0.658614409744468	0.415784822	0.515255226	0.316314418
"92"	"VG"	"Copper"	"VG1-2_49"	0.294235142899327	4	0.344113046180034	0.244357239618619	0.038503778	0.11747054	-0.040462985
"93"	"VG"	"Copper"	"VG1-2_56"	0.59001888527474	4	0.622883380248935	0.557154390300545	0.450193352	0.612297184	0.28808952
"94"	"VG"	"Copper"	"VG1-2_58"	NA	0	NA	NA	0.417110871	0.525531506	0.308690236
"95"	"VG"	"Copper"	"VG1-2_61"	0.39045309906821	4	0.43136961795712	0.349536580179301	0.171089582	0.247112728	0.095066437
"96"	"VG"	"Copper"	"VG1-2_63"	0.203286773058444	3	0.265356260125301	0.141217285991586	0.131234699	0.269205624	-0.006736226
"97"	"VG"	"Copper"	"VG1-2_64"	0.208235910311594	2	0.218739321060575	0.197732499562612	0.289292987	0.386716073	0.191869902
"98"	"VG"	"Copper"	"VG1-2_65or99"	0.324830836728692	2	0.354103368401789	0.295558305055595	0.076273258	0.128393871	0.024152645
"99"	"VG"	"Copper"	"VG1-2_66"	0.466470584737499	5	0.513393866806594	0.419547302668403	0.533764581	0.684059489	0.383469673
"100"	"VG"	"Copper"	"VG1-2_67"	0.297960971854865	2	0.379789026511199	0.216132917198531	0.000270072	0.001983457	-0.001443314
"101"	"VG"	"Copper"	"VG1-2_72"	0.253228504206343	1	NA	NA	0.286429398	0.407841708	0.165017088
"102"	"VG"	"Copper"	"VG1-2_74"	0.806481565607509	5	0.843012195750829	0.76995093546419	0.947070791	1.031705048	0.862436534
"103"	"VG"	"Copper"	"VG1-2_78"	0.205539665420047	1	NA	NA	0.256075738	0.356390331	0.155761146
"104"	"VG"	"Copper"	"VG1-2_81"	0.815922299579128	5	0.852974554941004	0.778870044217251	1.379102251	1.442606389	1.315598112
"105"	"VG"	"Copper"	"VG1-2_83"	NA	0	NA	NA	0.228603946	0.326410448	0.130797444
"106"	"VG"	"Copper"	"VG1-2_85"	NA	0	NA	NA	0.267448781	0.373114739	0.161782824
"107"	"VG"	"Copper"	"VG1-2_86"	0.0704555721811781	1	NA	NA	0.269024409	0.381531418	0.156517399
"108"	"VG"	"Copper"	"VG1-2_88"	0.20593667031248	3	0.234031898192744	0.177841442432216	0.465539105	0.589724344	0.341353866
"109"	"VG"	"Copper"	"VG1-2_89"	0.100748529513181	2	0.163186854156391	0.0383102048699712	0.660017388	0.81877846	0.501256317
"110"	"VG"	"Copper"	"VG1-2_90"	0.192097288472958	4	0.272643728540937	0.111550848404979	0.47733727	0.553886974	0.400787566
"111"	"VG"	"Copper"	"VG1-2_93"	NA	0	NA	NA	0.1757226	0.322168458	0.029276742
"112"	"VG"	"Copper"	"VG1-2_94"	NA	0	NA	NA	0.13901954	0.200302477	0.077736603
"113"	"VG"	"Copper"	"VG1-2_95"	0.286754896340376	3	0.343669063414283	0.22984072926647	0.685614092	0.950250132	0.420978053
"114"	"VG"	"Copper"	"VG1-2_99or65"	0.508053461537606	5	0.546581638345662	0.469525284729549	0.685505343	0.787143592	0.583867094
